# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -220 0 10339 2 72620543991701594 1 ./index.html-catid=35_accion=a_planetas.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 148 0 10356 2 8725724278867743 1 ./index.html-accion=ver_lang=_importancia=3_catid=7_idelemento=84.html
DUPTYPE_WITHIN_SAME_TREE -148 0 10356 2 243475854855064116 1 ./index.html-accion=ver_lang=_importancia=3_catid=7_idelemento=84.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 116 0 10394 2 6192449488471786 1 ./index.html-accion=ver_lang=_importancia=2_catid=12_idelemento=73.html
DUPTYPE_WITHIN_SAME_TREE -116 0 10394 2 60798594969847406 1 ./index.html-accion=ver_lang=_importancia=2_catid=12_idelemento=73.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 871 1 10422 2 62768919806733142 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=136.html
DUPTYPE_WITHIN_SAME_TREE -871 1 10422 2 27584547717957259 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=136.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 698 0 10457 2 6755399441894058 1 ./index.html-catid=4_accion=ver_bestiario_idelemento=4.html
DUPTYPE_WITHIN_SAME_TREE -698 0 10457 2 41095346600258857 1 ./index.html-catid=4_accion=ver_bestiario_idelemento=4.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 857 1 10512 2 23925373020662468 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=121.html
DUPTYPE_WITHIN_SAME_TREE -857 1 10512 2 286823001268463312 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=121.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 696 0 10560 2 6755399441894048 1 ./index.html-catid=4.html
DUPTYPE_WITHIN_SAME_TREE -696 0 10560 2 38562071809860871 1 ./index.html-catid=4.html.clean.html
DUPTYPE_WITHIN_SAME_TREE -696 0 10560 2 78812993479277630 1 ./index.html-lang=_catid=4.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 60 0 10609 2 5910974511761115 1 ./index.html-accion=ver_lang=_importancia=1_catid=15_idelemento=94.html
DUPTYPE_WITHIN_SAME_TREE -60 0 10609 2 49821070878126437 1 ./index.html-accion=ver_lang=_importancia=1_catid=15_idelemento=94.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 64 0 10622 2 6192449488471767 1 ./index.html-accion=ver_lang=_importancia=1_catid=15_idelemento=98.html
DUPTYPE_WITHIN_SAME_TREE -64 0 10622 2 42221246506938935 1 ./index.html-accion=ver_lang=_importancia=1_catid=15_idelemento=98.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 62 0 10758 2 6755399441893077 1 ./index.html-accion=ver_lang=_importancia=1_catid=15_idelemento=95.html
